,date,incident_id,state,n_killed,n_injured,total
147850,2016-09-23,661703,Washington,5,0,5
230198,2018-01-28,1037529,Pennsylvania,5,0,5
141024,2016-08-14,629415,Minnesota,0,5,5
11173,2014-03-30,120621,Mississippi,0,5,5
230243,2018-01-28,1037515,Indiana,2,3,5
11159,2014-03-30,120303,North Carolina,0,5,5
141876,2016-08-20,634731,Washington,0,5,5
141982,2016-08-20,634819,Alabama,5,0,5
142821,2016-08-25,640901,New Jersey,0,5,5
146137,2016-09-13,654087,Indiana,3,2,5
143518,2016-08-28,640861,Alabama,0,5,5
143575,2016-08-29,684389,California,5,0,5
145873,2016-09-11,652561,Michigan,0,5,5
145866,2016-09-11,652606,North Carolina,0,5,5
145460,2016-09-08,651434,Arkansas,1,4,5
138450,2016-07-31,617607,Texas,1,4,5
138227,2016-07-30,618321,Georgia,0,5,5
138162,2016-07-30,617712,Missouri,0,5,5
151686,2016-10-17,678438,Illinois,1,4,5
133835,2016-07-04,595069,Texas,3,2,5
153007,2016-10-25,684130,Virginia,2,3,5
151994,2016-10-19,679999,Virginia,1,4,5
134429,2016-07-07,597176,Tennessee,1,4,5
134995,2016-07-11,600398,Michigan,3,2,5
135087,2016-07-11,600798,Maryland,0,5,5
135266,2016-07-13,602810,Georgia,0,5,5
151364,2016-10-15,677293,Alabama,0,5,5
137928,2016-07-28,615109,New York,0,5,5
135712,2016-07-16,604275,Ohio,0,5,5
135804,2016-07-16,604459,Texas,0,5,5
136719,2016-07-21,609402,Illinois,0,5,5
136817,2016-07-22,610402,Illinois,0,5,5
149515,2016-10-04,669777,Louisiana,3,2,5
136987,2016-07-23,610379,Texas,4,1,5
149288,2016-10-02,667984,Texas,1,4,5
161129,2016-12-11,723643,Florida,1,4,5
161146,2016-12-11,723292,Maryland,0,5,5
121994,2016-04-19,543441,Alabama,1,4,5
121932,2016-04-19,543132,Illinois,1,4,5
100099,2015-11-22,451305,New York,0,5,5
173868,2017-02-26,783623,Indiana,1,4,5
173774,2017-02-25,783102,Ohio,2,3,5
173730,2017-02-25,783090,Florida,1,4,5
100257,2015-11-23,452007,Ohio,4,1,5
100264,2015-11-23,452120,Minnesota,0,5,5
101109,2015-11-29,455394,Illinois,0,5,5
172931,2017-02-20,778941,Ohio,0,5,5
102024,2015-12-06,460386,Nebraska,2,3,5
172844,2017-02-19,777996,Iowa,0,5,5
227982,2018-01-14,1026804,Alabama,1,4,5
172553,2017-02-18,777389,Minnesota,0,5,5
172170,2017-02-15,775531,Illinois,3,2,5
7784,2014-03-01,111095,Pennsylvania,1,4,5
171559,2017-02-12,773908,Florida,0,5,5
104076,2015-12-20,468787,Florida,1,4,5
104077,2015-12-20,468968,North Carolina,1,4,5
174652,2017-03-03,787435,California,0,5,5
99566,2015-11-18,449814,California,0,5,5
99184,2015-11-15,448419,Texas,5,0,5
96049,2015-10-25,436240,District of Columbia,0,5,5
94828,2015-10-17,432466,Florida,1,4,5
177595,2017-03-22,800828,Louisiana,4,1,5
177518,2017-03-22,800363,Wisconsin,5,0,5
16453,2014-05-10,134052,Georgia,2,3,5
227615,2018-01-12,1025873,North Carolina,0,5,5
95975,2015-10-25,436234,Arizona,1,4,5
95976,2015-10-25,436202,North Carolina,0,5,5
176940,2017-03-18,797125,Michigan,3,2,5
98901,2015-11-13,446996,Florida,4,1,5
96201,2015-10-26,437323,Indiana,0,5,5
96372,2015-10-27,437836,Texas,0,5,5
227733,2018-01-12,1025673,Tennessee,3,2,5
97348,2015-11-03,441681,Florida,2,3,5
174821,2017-03-04,787875,Kansas,1,4,5
234555,2018-02-26,1057518,Michigan,5,0,5
98759,2015-11-12,446738,California,3,2,5
170862,2017-02-08,769889,Ohio,1,4,5
228134,2018-01-15,1042072,Florida,0,5,5
106852,2016-01-08,481900,Illinois,1,4,5
117088,2016-03-19,525464,Florida,1,4,5
114288,2016-03-01,514780,Florida,1,4,5
115145,2016-03-07,518436,Kansas,5,0,5
115394,2016-03-08,518266,Texas,2,3,5
115956,2016-03-11,520290,New Jersey,0,5,5
233203,2018-02-18,1052372,Texas,0,5,5
164767,2017-01-01,739405,Illinois,1,4,5
116548,2016-03-15,523044,Georgia,0,5,5
233160,2018-02-17,1051407,Tennessee,0,5,5
166507,2017-01-12,749361,Missouri,3,2,5
164516,2017-01-01,743282,Mississippi,0,5,5
13969,2014-04-20,127413,Illinois,0,5,5
164113,2016-12-30,738041,Ohio,0,5,5
163720,2016-12-28,736690,Georgia,1,4,5
162134,2016-12-17,727759,Illinois,5,0,5
121381,2016-04-16,542259,Michigan,1,4,5
121907,2016-04-18,543271,Michigan,1,4,5
113981,2016-02-28,513549,Michigan,0,5,5
113797,2016-02-26,512073,Washington,5,0,5
170678,2017-02-07,769859,Arkansas,1,4,5
168297,2017-01-22,757158,Texas,3,2,5
107415,2016-01-11,483750,Delaware,1,4,5
109246,2016-01-25,493085,California,1,4,5
109451,2016-01-26,493536,Washington,2,3,5
169373,2017-01-29,763313,Louisiana,1,4,5
228308,2018-01-16,1027999,South Carolina,1,4,5
14809,2014-04-27,129730,New York,0,5,5
168784,2017-01-26,760482,Georgia,2,3,5
112051,2016-02-14,505420,Alabama,0,5,5
166950,2017-01-15,751367,Mississippi,1,4,5
168093,2017-01-21,756526,Florida,0,5,5
8193,2014-03-05,112450,Indiana,1,4,5
8199,2014-03-05,112415,South Carolina,3,2,5
14605,2014-04-25,128871,Tennessee,2,3,5
112975,2016-02-20,508113,Mississippi,2,3,5
113143,2016-02-21,509707,Texas,0,5,5
113402,2016-02-23,509897,Arizona,5,0,5
167849,2017-01-20,757955,Mississippi,1,4,5
144810,2016-09-05,648884,Illinois,2,3,5
53405,2015-01-11,276766,California,0,5,5
130,2013-07-07,490893,California,1,4,5
113,2013-06-23,489129,Virginia,1,4,5
30318,2014-08-07,170724,Wisconsin,0,5,5
55066,2015-01-24,282956,New York,4,1,5
53694,2015-01-13,298773,Virginia,0,5,5
230,2013-10-27,492393,North Carolina,1,4,5
115,2013-06-25,489987,Illinois,1,4,5
203326,2017-08-13,912805,Pennsylvania,0,5,5
203433,2017-08-13,912848,California,0,5,5
218289,2017-11-12,987134,California,0,5,5
4199,2014-01-28,101785,Wisconsin,0,5,5
52352,2015-01-02,273965,Georgia,1,4,5
128,2013-07-07,490772,Illinois,0,5,5
52186,2015-01-01,272016,Tennessee,0,5,5
204428,2017-08-19,916551,Ohio,1,4,5
31296,2014-08-12,173628,Georgia,2,3,5
206936,2017-09-03,926766,California,2,3,5
4111,2014-01-27,113665,Washington,1,4,5
140,2013-07-13,490932,New Jersey,1,4,5
141,2013-07-14,491037,Michigan,0,5,5
142,2013-07-14,491001,Kansas,1,4,5
50888,2014-12-22,267721,Illinois,0,5,5
50873,2014-12-22,267653,Georgia,2,3,5
146,2013-07-20,491181,New York,0,5,5
1831,2014-01-12,95579,Illinois,0,5,5
50767,2014-12-21,268910,Mississippi,1,4,5
205671,2017-08-27,921733,California,1,4,5
49911,2014-12-14,263376,Florida,1,4,5
49785,2014-12-13,263382,Florida,0,5,5
216857,2017-11-03,980401,Louisiana,1,4,5
